date,time,lat,lon,ele
2022-03-24,12:01:56.000,50.5861387,-2.0308024,31
2022-03-24,12:02:01.000,50.5861892,-2.0307662,31
2022-03-24,12:02:06.000,50.5862422,-2.0307217,31
2022-03-24,12:02:11.000,50.5862993,-2.0306859,31
2022-03-24,12:02:16.000,50.5863550,-2.0306548,31
2022-03-24,12:02:21.000,50.5864073,-2.0306109,32
2022-03-24,12:02:26.000,50.5864585,-2.0305653,32
2022-03-24,12:02:31.000,50.5865119,-2.0305155,32
2022-03-24,12:02:36.000,50.5865600,-2.0304569,32
2022-03-24,12:02:41.000,50.5865948,-2.0303948,32
2022-03-24,12:02:46.000,50.5866378,-2.0303326,31
2022-03-24,12:02:51.000,50.5866852,-2.0302772,31
2022-03-24,12:02:56.000,50.5867293,-2.0302149,31
2022-03-24,12:03:01.000,50.5867768,-2.0301548,31
2022-03-24,12:03:06.000,50.5868194,-2.0300900,31
2022-03-24,12:03:11.000,50.5868638,-2.0300279,31
2022-03-24,12:03:16.000,50.5869128,-2.0299723,31
2022-03-24,12:03:21.000,50.5869613,-2.0299119,31
2022-03-24,12:03:26.000,50.5870051,-2.0298439,30
2022-03-24,12:03:31.000,50.5870474,-2.0297717,30
2022-03-24,12:03:36.000,50.5870926,-2.0297032,30
2022-03-24,12:03:41.000,50.5871436,-2.0296377,30
2022-03-24,12:03:46.000,50.5871881,-2.0295742,30
2022-03-24,12:03:51.000,50.5872370,-2.0295170,30
2022-03-24,12:03:56.000,50.5872788,-2.0294494,30
2022-03-24,12:04:01.000,50.5873173,-2.0293784,30
2022-03-24,12:04:06.000,50.5873643,-2.0293161,30
2022-03-24,12:04:11.000,50.5874115,-2.0292565,30
2022-03-24,12:04:16.000,50.5874571,-2.0291936,30
2022-03-24,12:04:21.000,50.5875041,-2.0291318,31
2022-03-24,12:04:26.000,50.5875480,-2.0290626,31
2022-03-24,12:04:31.000,50.5875913,-2.0290006,31
2022-03-24,12:04:36.000,50.5876360,-2.0289436,31
2022-03-24,12:04:41.000,50.5876885,-2.0288878,31
2022-03-24,12:04:46.000,50.5877410,-2.0288329,31
2022-03-24,12:04:51.000,50.5877905,-2.0287859,31
2022-03-24,12:04:56.000,50.5878444,-2.0287444,31
2022-03-24,12:05:01.000,50.5878976,-2.0287099,31
2022-03-24,12:05:06.000,50.5879476,-2.0286731,32
2022-03-24,12:05:11.000,50.5879978,-2.0286350,32
2022-03-24,12:05:16.000,50.5880451,-2.0286017,32
2022-03-24,12:05:21.000,50.5880809,-2.0285675,32
2022-03-24,12:05:26.000,50.5880900,-2.0285537,32
2022-03-24,12:05:31.000,50.5880905,-2.0285119,32
2022-03-24,12:05:36.000,50.5881096,-2.0284617,32
2022-03-24,12:05:41.000,50.5881417,-2.0284274,32
2022-03-24,12:05:46.000,50.5881663,-2.0283828,32
2022-03-24,12:05:51.000,50.5881957,-2.0283502,32
2022-03-24,12:05:56.000,50.5882356,-2.0283085,32
2022-03-24,12:06:01.000,50.5882756,-2.0282532,32
2022-03-24,12:06:06.000,50.5883187,-2.0281964,32
2022-03-24,12:06:11.000,50.5883624,-2.0281519,32
2022-03-24,12:06:16.000,50.5884015,-2.0280946,32
2022-03-24,12:06:21.000,50.5884396,-2.0280296,32
2022-03-24,12:06:26.000,50.5884814,-2.0279702,32
2022-03-24,12:06:31.000,50.5885249,-2.0279214,32
2022-03-24,12:06:36.000,50.5885676,-2.0278691,32
2022-03-24,12:06:41.000,50.5886123,-2.0278132,32
2022-03-24,12:06:46.000,50.5886575,-2.0277727,32
2022-03-24,12:06:51.000,50.5886991,-2.0277129,32
2022-03-24,12:06:56.000,50.5887277,-2.0276332,32
2022-03-24,12:07:01.000,50.5887539,-2.0275558,32
2022-03-24,12:07:06.000,50.5887784,-2.0274775,32
2022-03-24,12:07:11.000,50.5888167,-2.0274120,32
2022-03-24,12:07:16.000,50.5888392,-2.0273387,32
2022-03-24,12:07:21.000,50.5888562,-2.0272594,33
2022-03-24,12:07:26.000,50.5888810,-2.0271863,33
2022-03-24,12:07:31.000,50.5889132,-2.0271182,33
2022-03-24,12:07:36.000,50.5889468,-2.0270420,33
2022-03-24,12:07:41.000,50.5889820,-2.0269680,33
2022-03-24,12:07:46.000,50.5890147,-2.0268982,33
2022-03-24,12:07:51.000,50.5890469,-2.0268320,33
2022-03-24,12:07:56.000,50.5890870,-2.0267859,33
2022-03-24,12:08:01.000,50.5891270,-2.0267538,33
2022-03-24,12:08:06.000,50.5891492,-2.0267524,34
2022-03-24,12:08:11.000,50.5891698,-2.0267473,34
2022-03-24,12:08:16.000,50.5891807,-2.0266893,33
2022-03-24,12:08:21.000,50.5891879,-2.0266169,33
2022-03-24,12:08:26.000,50.5892091,-2.0265430,33
2022-03-24,12:08:31.000,50.5892334,-2.0264541,32
2022-03-24,12:08:36.000,50.5892561,-2.0263629,32
2022-03-24,12:08:41.000,50.5892768,-2.0262699,32
2022-03-24,12:08:46.000,50.5892919,-2.0261841,32
2022-03-24,12:08:51.000,50.5893108,-2.0260930,31
2022-03-24,12:08:56.000,50.5893289,-2.0259932,31
2022-03-24,12:09:01.000,50.5893516,-2.0259009,31
2022-03-24,12:09:06.000,50.5893719,-2.0258115,31
2022-03-24,12:09:11.000,50.5893989,-2.0257225,32
2022-03-24,12:09:16.000,50.5894267,-2.0256359,32
2022-03-24,12:09:21.000,50.5894560,-2.0255506,32
2022-03-24,12:09:26.000,50.5894836,-2.0254710,32
2022-03-24,12:09:31.000,50.5895099,-2.0253941,33
